id;name;decs;uniqued;value_type;min_cardinality;max_cardinality;extensible
1;Small Fresh Chair architect Bond Markets Units European Composite Unit (EURCO);panel Fantastic;false;Neck Credit Card Account Rubber;46770;93722;true
2;Factors Shoes experiences;PNG;false;SMS;57818;88453;false
3;redundant;Place;false;logistical;65937;83549;true
4;Intelligent Plastic Computer alarm Small;parsing;false;bandwidth-monitored synthesize service-desk;29476;56651;false
5;Tennessee Pizza;Dynamic global projection;true;Track transmitting;86599;74052;true
6;discrete Cordoba Oro Skyway;Rustic Virginia;true;Handmade Wooden Pants orchestrate calculating;1204;98892;true
7;utilize Maryland;Legacy Representative;false;scalable;49490;80555;true
8;invoice disintermediate Granite;Producer paradigms;true;policy;85739;974;false
9;Tuvalu Car;primary back up;false;calculating auxiliary Accounts;58896;5550;true
10;Outdoors maximize;networks;true;Forks;66152;37162;false
