id;name;brand;description;price;image;image_content_type;product_unit;status
1;Generic Steel Tuna;website calculating;cross-platform support;98666;../fake-data/blob/hipster.png;image/png;LITER;INREPLENISHMENT
2;actuating THX;Division;Steel;59460;../fake-data/blob/hipster.png;image/png;KILOGRAM;OOUTOFSTOCK
3;Internal compressing;withdrawal Bedfordshire;Credit Card Account;51217;../fake-data/blob/hipster.png;image/png;KILOGRAM;ONSALE
4;Bike;digital;Oklahoma;95238;../fake-data/blob/hipster.png;image/png;KILOGRAM;INREPLENISHMENT
5;JSON;New Mexico Implementation Steel;Shirt intangible;27331;../fake-data/blob/hipster.png;image/png;LITER;ONSALE
6;Shoes;Center Intelligent tangible;Checking Account methodical optical;68319;../fake-data/blob/hipster.png;image/png;LITER;INREPLENISHMENT
7;hacking;efficient;Buckinghamshire;94611;../fake-data/blob/hipster.png;image/png;KILOGRAM;ONSALE
8;Harbors backing up;Massachusetts Checking Account Gorgeous Fresh Ball;Unbranded Steel Computer;64809;../fake-data/blob/hipster.png;image/png;GRAM;INREPLENISHMENT
9;Associate Games;Balboa US Dollar Usability transmit;Incredible Steel Soap Outdoors;84724;../fake-data/blob/hipster.png;image/png;KILOGRAM;LOCKED
10;wireless bypassing e-business;Computers Tuvalu Trinidad and Tobago Dollar;multi-byte Checking Account;44886;../fake-data/blob/hipster.png;image/png;GRAM;OOUTOFSTOCK
