id;code;bar_code;price;stock_quantiry
1;programming THX;Gorgeous Fresh Bike Technician;44904;71289
2;Sausages ADP Investment Account;connecting Shoes orchid;34710;78928
3;lime Rubber Forward;frictionless Bacon;44081;65692
4;Global red Shoes;Bacon mint green Innovative;87995;29265
5;Practical Global;project;98593;6506
6;Courts;bifurcated override background;31954;6457
7;Configuration;Handcrafted Rubber Shoes Martinique Investment Account;71765;23486
8;Health front-end FTP;Facilitator Burkina Faso North Dakota;73144;20901
9;Fully-configurable Cotton;Personal Loan Account;22908;70092
10;back up Intelligent Cotton Shirt Burundi Franc;Business-focused Cotton USB;8030;50250
